stage,case_id,n_vehicle_logs,case_strict_success,case_replayed_dwell_all,case_any_close_pass,inside_u3,delta_h0_m,delta_v0_mps
B5A,phase2_B5AR_positive_velocity_report,1,False,False,False,,,
B5A,phase2_B5A_by_vehicle_all,3,False,False,False,,,
B5A,phase2_B5A_dispersion_grid_combined_all,3,False,True,True,,,
B5A,phase2_B5A_dispersion_grid_report,1,False,False,False,,,
B5A,phase2_B5A_failure_boundary_report,1,False,False,False,,,
B5A,phase2_B5A_hm112p522m_vm32p7003mps_sp2deg_by_vehicle,3,False,False,False,False,-112.522,-32.7
B5A,phase2_B5A_hm112p522m_vm32p7003mps_sp2deg_combined,3,False,False,True,False,-112.522,-32.7
B5A,phase2_B5A_hm129p202m_vp5p6059mps_sp2deg_by_vehicle,3,False,False,False,False,-129.202,5.606
B5A,phase2_B5A_hm129p202m_vp5p6059mps_sp2deg_combined,3,True,True,False,False,-129.202,5.606
B5A,phase2_B5A_hm174p175m_vm27p7724mps_sp2deg_by_vehicle,3,False,False,False,False,-174.175,-27.772
B5A,phase2_B5A_hm174p175m_vm27p7724mps_sp2deg_combined,3,False,False,True,False,-174.175,-27.772
B5A,phase2_B5A_hm273p091m_vm9p81116mps_sp2deg_by_vehicle,3,False,False,False,False,-273.091,-9.811
B5A,phase2_B5A_hm273p091m_vm9p81116mps_sp2deg_combined,3,False,False,True,False,-273.091,-9.811
B5A,phase2_B5A_hm300p092m_vm49p5583mps_sp2deg_by_vehicle,3,False,False,False,False,-300.092,-49.558
B5A,phase2_B5A_hm300p092m_vm49p5583mps_sp2deg_combined,3,False,False,False,False,-300.092,-49.558
B5A,phase2_B5A_hm30p4442m_vm38p6317mps_sp2deg_by_vehicle,3,False,False,False,False,-30.444,-38.632
B5A,phase2_B5A_hm30p4442m_vm38p6317mps_sp2deg_combined,3,False,False,True,False,-30.444,-38.632
B5A,phase2_B5A_hm33p279m_vm47p3718mps_sp2deg_by_vehicle,3,False,False,False,False,-33.279,-47.372
B5A,phase2_B5A_hm33p279m_vm47p3718mps_sp2deg_combined,3,False,False,True,False,-33.279,-47.372
B5A,phase2_B5A_hm345p711m_vm9p01706mps_sp2deg_by_vehicle,3,False,False,False,False,-345.711,-9.017
B5A,phase2_B5A_hm345p711m_vm9p01706mps_sp2deg_combined,3,True,True,False,False,-345.711,-9.017
B5A,phase2_B5A_hm360p203m_vm43p1282mps_sp2deg_by_vehicle,3,False,False,False,False,-360.203,-43.128
B5A,phase2_B5A_hm360p203m_vm43p1282mps_sp2deg_combined,3,False,False,True,False,-360.203,-43.128
B5A,phase2_B5A_hm370p078m_vm21p4577mps_sp2deg_by_vehicle,3,False,False,False,False,-370.078,-21.458
B5A,phase2_B5A_hm370p078m_vm21p4577mps_sp2deg_combined,3,False,False,True,False,-370.078,-21.458
B5A,phase2_B5A_hm371p886m_vm22p9768mps_sp2deg_by_vehicle,3,False,False,False,False,-371.886,-22.977
B5A,phase2_B5A_hm371p886m_vm22p9768mps_sp2deg_combined,3,False,False,True,False,-371.886,-22.977
