csv,vehicle_id,vehicle_sort,vehicle_role,event_time_s,abs_delta_psi_deg,abs_gamma_deg
b5c047_hp52p723_vp6p654_combined.csv,0,0,Vehicle~1,2134.5340000002034,0.4057967287503075,3.031984842537947
b5c048_hp380p801_vm0p950_combined.csv,0,0,Vehicle~1,2138.6480000002057,0.27905518172334076,3.174595925229065
b5c049_hp64p217_vp6p242_combined.csv,0,0,Vehicle~1,2135.0300000002044,0.4132894033590365,3.0278985885221728
b5c000_hp173p144_vm1p127_combined.csv,1,1,Vehicle~2,2132.392000000204,0.3148032694828145,3.0980568332855842
b5c001_hp407p878_vp3p750_combined.csv,1,1,Vehicle~2,2129.3890000002016,0.40387311734424547,3.0036824775793436
b5c002_hp150p213_vm1p197_combined.csv,1,1,Vehicle~2,2132.6400000002027,0.32993197525298273,3.0748228343406323
b5c003_hp281p755_vp6p735_combined.csv,1,1,Vehicle~2,2127.2630000002027,0.5051613304040266,2.9112155446429933
b5c004_hp106p199_vp8p290_combined.csv,1,1,Vehicle~2,2126.266000000203,0.5141313605071838,2.8718071413535755
b5c005_hp157p702_vp5p565_combined.csv,1,1,Vehicle~2,2128.3250000002054,0.446373041816027,2.962543778952895
b5c006_hp262p371_vm3p022_combined.csv,1,1,Vehicle~2,2134.2810000002028,0.33987203041065933,3.122398199457517
b5c007_hp278p652_vm0p283_combined.csv,1,1,Vehicle~2,2131.9410000002026,0.35519857285768686,3.058210087048109
b5c008_hp76p236_vm1p050_combined.csv,1,1,Vehicle~2,2132.6220000002018,0.330295069222505,3.074368568698093
b5c009_hp463p922_vp3p164_combined.csv,1,1,Vehicle~2,2129.8580000002053,0.4253635655561636,2.992430565313208
b5c010_hp59p976_vp4p029_combined.csv,1,1,Vehicle~2,2129.743000000204,0.4180170617345101,2.986544862415734
b5c011_hp349p694_vm0p101_combined.csv,1,1,Vehicle~2,2131.614000000204,0.37279320202076915,3.029533200436102
b5c012_hp14p700_vp1p086_combined.csv,1,1,Vehicle~2,2131.3580000002044,0.3980459696738224,3.0355153208003545
b5c013_hp141p172_vp0p854_combined.csv,1,1,Vehicle~2,2130.9470000002057,0.35840119469896575,3.0446135536617907
b5c014_hp190p148_vm1p949_combined.csv,1,1,Vehicle~2,2133.1120000002047,0.3191173508449737,3.1168487874390096
b5c015_hp468p756_vp8p881_combined.csv,1,1,Vehicle~2,2125.401000000204,0.5891525579705523,2.818311400376994
b5c016_hp86p233_vm5p063_combined.csv,1,1,Vehicle~2,2134.972000000205,0.33260326098455034,3.0963833695461136
b5c017_hp492p240_vp1p120_combined.csv,1,1,Vehicle~2,2130.0240000002022,0.375070022936043,2.980393895142818
b5c018_hp343p939_vp1p764_combined.csv,1,1,Vehicle~2,2130.933000000204,0.3760205435523533,3.042096641058406
b5c019_hp61p117_vp1p056_combined.csv,1,1,Vehicle~2,2131.2680000002047,0.39689066999996664,3.035642330782492
b5c020_hp21p581_vm9p979_combined.csv,1,1,Vehicle~2,2139.721000000203,0.23332860941001582,3.3080813320952167
b5c021_hp9p864_vp0p067_combined.csv,1,1,Vehicle~2,2132.1330000002054,0.3777649815256761,3.048165960952733
b5c022_hp44p606_vm9p298_combined.csv,1,1,Vehicle~2,2138.0630000002034,0.2630592674642066,3.211023034423615
b5c023_hp48p334_vp0p483_combined.csv,1,1,Vehicle~2,2131.6420000002045,0.3711325183321711,3.031132258993272
b5c024_hp316p252_vm5p690_combined.csv,1,1,Vehicle~2,2134.7410000002023,0.3059582940464032,3.0878024476745143
b5c025_hp457p541_vm6p362_combined.csv,1,1,Vehicle~2,2136.094000000205,0.26258941117339907,3.183986662442328
b5c026_hp216p564_vp2p798_combined.csv,1,1,Vehicle~2,2130.3230000002027,0.3638762605492178,3.0391130324874616
b5c027_hp312p051_vm5p900_combined.csv,1,1,Vehicle~2,2135.899000000204,0.2573127880718744,3.1961613245433895
b5c028_hp98p422_vm4p869_combined.csv,1,1,Vehicle~2,2135.387000000203,0.2822222579567642,3.1461844674641655
b5c029_hp283p266_vp6p772_combined.csv,1,1,Vehicle~2,2127.2390000002024,0.5065257912831694,2.910365017353862
b5c030_hp86p638_vm0p242_combined.csv,1,1,Vehicle~2,2133.442000000205,0.3605956296403521,3.1346939249358523
b5c031_hp110p319_vp5p597_combined.csv,1,1,Vehicle~2,2128.364000000203,0.4435127111681475,2.9655415437699295
b5c032_hp197p674_vm6p911_combined.csv,1,1,Vehicle~2,2135.956000000202,0.2976728098563537,3.1300095765812608
b5c033_hp336p292_vp0p794_combined.csv,1,1,Vehicle~2,2130.512000000202,0.37282504766710006,2.9856304768131507
b5c034_hp332p074_vm5p639_combined.csv,1,1,Vehicle~2,2135.0300000002044,0.32863369732779996,3.1006345675160163
b5c035_hp132p429_vm3p567_combined.csv,1,1,Vehicle~2,2134.4360000002025,0.28650624519039153,3.1618280771375105
b5c036_hp421p940_vm4p196_combined.csv,1,1,Vehicle~2,2134.5950000002035,0.297982720659305,3.1446364139595087
b5c037_hp344p441_vp2p572_combined.csv,1,1,Vehicle~2,2129.267000000204,0.4312588474431559,2.921207878389501
b5c038_hp335p499_vm1p147_combined.csv,1,1,Vehicle~2,2132.3170000002046,0.34639551506265837,3.0888423035104124
b5c039_hp377p603_vm0p371_combined.csv,1,1,Vehicle~2,2131.8000000002044,0.36568825673897754,3.039371147196629
b5c040_hp129p630_vm0p019_combined.csv,1,1,Vehicle~2,2131.9740000002025,0.3540863097508595,3.0595564274547145
b5c041_hp343p214_vm7p616_combined.csv,1,1,Vehicle~2,2137.0240000002027,0.2446571994541104,3.2257890843398824
b5c042_hp365p116_vp0p190_combined.csv,1,1,Vehicle~2,2131.251000000203,0.35646397012078573,3.0509936640735
b5c043_hp452p043_vp0p481_combined.csv,1,1,Vehicle~2,2132.0520000002034,0.3793093352907036,3.07292062495998
b5c044_hp440p893_vm6p434_combined.csv,1,1,Vehicle~2,2136.1670000002023,0.272631074519277,3.1938146312295927
b5c045_hp67p020_vm0p134_combined.csv,1,1,Vehicle~2,2132.134000000204,0.36402808169033324,3.0676759476052573
b5c046_hp1p809_vm0p086_combined.csv,1,1,Vehicle~2,2132.340000000205,0.3756307772679215,3.0530374288615216
b5c047_hp52p723_vp6p654_combined.csv,1,1,Vehicle~2,2127.675000000206,0.4744282523035259,2.924225881552091
b5c048_hp380p801_vm0p950_combined.csv,1,1,Vehicle~2,2133.583000000204,0.35947560309749993,3.1371799459585974
b5c049_hp64p217_vp6p242_combined.csv,1,1,Vehicle~2,2127.9830000002025,0.4622256318543219,2.9415066163629335
b5c000_hp173p144_vm1p127_combined.csv,2,2,Vehicle~3,2128.7430000002028,0.384100734824645,3.059910203181675
